text,label,category
Ndakafarira basa renyu,1,Other
Very disappointing Bad customer care,0,Complaint
Great experience Service was excellent,1,Customer Service
Cimas was excellent thank you service,1,Customer Service
Service was excellent experience great,1,Customer Service
Service was excellent Helpful staff,1,Customer Service
Great efficient experience service,1,Customer Service
Quick assistance,1,Other
Thank you crew supportive cimas,1,Praise
Worst insurance ever process takes forever,0,Complaint
Delivery service poor very disappointing,0,Customer Service
Worst insurance ever Worst insurance ever,0,Complaint
Ndakafarira basa renyu Service was excellent,1,Customer Service
No aid received no assistance received,0,Other
Experience great makandibatsira zvakanaka,1,Praise
Ndatenda zvikuru fast claims processing,1,Claim
New the appreciated platform ndatenda zvikuru,1,Other
Handife very ndakadzokera disappointing,0,Other
Handife ndakadzokera Too slow response,0,Complaint
Handina kufara worst insurance ever,0,Complaint
Handina kufara unacceptable customer care,0,Complaint
Process forever takes vanononoka kubatsira,0,Other
Thank you CIMAS Efficient service,1,Customer Service
Thank you cimas makandibatsira zvakanaka,1,Praise
Zvakanaka makandibatsira thank you cimas,1,Praise
Fast basa renyu ndakafarira claims processing,1,Claim
Assistance quick efficient service,1,Customer Service
Fast claims processing Fast claims processing,1,Claim
Service was excellent Ndakafarira basa renyu,1,Customer Service
Service was excellent quick assistance,1,Customer Service
Ndatenda zvikuru Efficient service,1,Customer Service
Process takes forever,0,Other
Poor process delivery service takes forever,0,Customer Service
Makandibatsira zvakanaka Efficient service,1,Customer Service
Very forever process takes disappointing,0,Other
Vanononoka kubatsira poor service delivery,0,Customer Service
Very disappointing Staff was rude,0,Other
Good customer care good customer care,1,Praise
Handife ndakadzokera Handife ndakadzokera,0,Other
Bad customer care Very disappointing,0,Complaint
Kufara ndakadzokera handina handife,0,Other
Kind team service was excellent,1,Customer Service
The appreciated new application quick assistance,1,Other
Ndakafarira basa renyu efficient service,1,Customer Service
Service was excellent efficient service,1,Customer Service
Makandibatsira zvakanaka ndakafarira basa renyu,1,Other
Staff was rude Too slow response,0,Complaint
Friendly personnel friendly crew,1,Other
Worst insurance ever,0,Complaint
Handina kufara,0,Other
Makandibatsira zvakanaka Ndatenda zvikuru,1,Other
Helpful staff Thank you CIMAS,1,Praise
Staff was rude too sluggish feedback,0,Complaint
Efficient service,1,Customer Service
Quick assistance Service was excellent,1,Customer Service
Good customer care enjoyed application new the,1,Praise
Worst insurance ever Bad customer care,0,Complaint
Too reaction late handina kufara,0,Complaint
Great experience fast claims processing,1,Claim
Unacceptable customer care too sluggish reply,0,Complaint
Friendly crew good customer care,1,Praise
Quick assistance ndatenda zvikuru,1,Other
Ndakafarira basa renyu quick assistance,1,Other
Ndakafarira basa renyu Efficient service,1,Customer Service
Quick makandibatsira assistance zvakanaka,1,Other
Poor service delivery handife ndakadzokera,0,Customer Service
Too delayed reaction,0,Complaint
Personnel experience kind great,1,Praise
Poor service delivery poor service delivery,0,Customer Service
Ndakafarira basa renyu ndakafarira basa renyu,1,Other
Thank you CIMAS Quick assistance,1,Praise
Worst ever insurance handife ndakadzokera,0,Complaint
Quick assistance Loved the new app,1,Other
Helpful staff Great experience,1,Praise
Thank you cimas,1,Praise
Worst insurance ever Poor service delivery,0,Customer Service
Loved the new app Thank you CIMAS,1,Praise
Supportive thank personnel you cimas,1,Praise
Friendly team great experience,1,Praise
Unacceptable customer care very disappointing,0,Complaint
Ndakafarira basa renyu ndatenda zvikuru,1,Other
No support received staff was rude,0,Other
Good customer care Service was excellent,1,Customer Service
Process takes forever Process takes forever,0,Other
Handife ndakadzokera Delay in claims,0,Claim
Very disappointing staff was rude,0,Other
Fast claims processing good customer care,1,Claim
Platform the new appreciated appreciated the new platform,1,Other
Handina kufara process takes forever,0,Other
Poor service delivery No help received,0,Customer Service
Good customer care efficient service,1,Customer Service
Staff was rude vanononoka kubatsira,0,Other
Staff was rude Process takes forever,0,Other
Handina kufara Vanononoka kubatsira,0,Other
Efficient liked service the new application,1,Customer Service
Worst insurance ever worst insurance ever,0,Complaint
Quick assistance you thank cimas,1,Praise
Ndakafarira assistance renyu quick basa,1,Other
Helpful staff Helpful staff,1,Other
Worst insurance ever no support received,0,Complaint
Very disappointing No help received,0,Other
Good customer care Loved the new app,1,Praise
Great experience enjoyed the new platform,1,Praise
Process insurance forever worst takes ever,0,Complaint
Staff was rude unacceptable customer care,0,Complaint
Delay in claims process takes forever,0,Claim
Poor service delivery worst ever insurance,0,Customer Service
Worst insurance ever Handina kufara,0,Complaint
Handina kufara Very disappointing,0,Other
Good customer care,1,Praise
Claims the new platform fast enjoyed processing,1,Claim
Thank you CIMAS Helpful staff,1,Praise
Late disappointing too very reply,0,Complaint
Good customer care quick assistance,1,Praise
Staff was rude Worst insurance ever,0,Complaint
Quick customer care good assistance,1,Praise
Disappointing takes forever very process,0,Other
Vanononoka kubatsira,0,Other
Loved the new app Ndatenda zvikuru,1,Other
Good customer care Quick assistance,1,Praise
Poor service care unacceptable customer delivery,0,Customer Service
Helpful staff Quick assistance,1,Other
Ndatenda zvikuru ndatenda zvikuru,1,Other
Delay in claims staff was rude,0,Claim
Fast claims processing great experience,1,Claim
Appreciated the new platform great experience,1,Praise
Insurance worst ever handina kufara,0,Complaint
Great experience Good customer care,1,Praise
Vanononoka kubatsira handina kufara,0,Other
Efficient customer good service care,1,Customer Service
Great assistance quick experience,1,Praise
Delay in claims Poor service delivery,0,Claim
Fast zvikuru ndatenda claims processing,1,Claim
Vanononoka kubatsira delivery service poor,0,Customer Service
Great experience Efficient service,1,Customer Service
Great experience supportive crew,1,Praise
No received assistance poor service delivery,0,Customer Service
Handina kufara poor service delivery,0,Customer Service
Bad customer care Poor service delivery,0,Customer Service
Process takes forever no support received,0,Other
Ndatenda experience great zvikuru,1,Praise
Vanononoka kubatsira poor customer care,0,Complaint
Delay in claims Worst insurance ever,0,Claim
Loved the new app Service was excellent,1,Customer Service
Service efficient great experience,1,Customer Service
Process takes in delay forever claims,0,Claim
Claims in delay handina kufara,0,Claim
Unacceptable customer care,0,Complaint
Handina kufara handina kufara,0,Other
Vanononoka kubatsira very disappointing,0,Other
Staff was rude Vanononoka kubatsira,0,Other
Staff was rude process takes forever,0,Other
Appreciated the new tool ndakafarira basa renyu,1,Other
Vanononoka kubatsira staff was rude,0,Other
Quick assistance good care customer,1,Praise
Claims fast processing makandibatsira zvakanaka,1,Claim
Service takes forever poor process delivery,0,Customer Service
Too slow response Very disappointing,0,Complaint
Process takes forever very disappointing,0,Other
Kubatsira vanononoka delay in claims,0,Claim
Poor service delivery,0,Customer Service
Good customer care Ndakafarira basa renyu,1,Praise
Handife ndakadzokera in delay claims,0,Claim
Liked the new excellent service was tool,1,Customer Service
Ndakadzokera handife poor service delivery,0,Customer Service
Makandibatsira zvakanaka quick assistance,1,Other
Helpful staff Ndakafarira basa renyu,1,Other
Poor service delivery Handife ndakadzokera,0,Customer Service
No help received No help received,0,Other
No help received Vanononoka kubatsira,0,Other
Very disappointing,0,Other
Process takes forever Very disappointing,0,Other
Vanononoka kubatsira feedback delayed too,0,Complaint
Very disappointing customer poor care,0,Complaint
No help received Staff was rude,0,Other
Friendly great team experience,1,Praise
Efficient service supportive crew,1,Customer Service
Too sluggish worst feedback insurance ever,0,Complaint
Thank you CIMAS Makandibatsira zvakanaka,1,Praise
Efficient service Makandibatsira zvakanaka,1,Customer Service
Service was excellent Ndatenda zvikuru,1,Customer Service
Makandibatsira zvakanaka service was excellent,1,Customer Service
Delivery service poor vanononoka kubatsira,0,Customer Service
Was service excellent ndatenda zvikuru,1,Customer Service
Service was excellent Makandibatsira zvakanaka,1,Customer Service
Staff was rude staff was rude,0,Other
Service was excellent Fast claims processing,1,Claim
Poor service delivery staff was rude,0,Customer Service
Vanononoka staff kubatsira was rude,0,Other
Quick service assistance was excellent,1,Customer Service
Fast claims processing Helpful staff,1,Claim
Handife ndakadzokera Handina kufara,0,Other
Ndatenda zvikuru friendly crew,1,Other
Worst insurance ever takes process forever,0,Complaint
Quick fast assistance claims processing,1,Claim
Service was excellent,1,Customer Service
Ndakadzokera in claims handife delay,0,Claim
Loved the new app Loved the new app,1,Other
Process takes forever Vanononoka kubatsira,0,Other
Ndatenda zvikuru zvakanaka makandibatsira,1,Other
Loved the new app Fast claims processing,1,Claim
Delay in claims Handife ndakadzokera,0,Claim
Poor customer care staff was rude,0,Complaint
Too care reaction poor customer delayed,0,Complaint
Very disappointing poor service delivery,0,Customer Service
Fast claims processing Makandibatsira zvakanaka,1,Claim
Helpful staff Efficient service,1,Customer Service
Great experience makandibatsira zvakanaka,1,Praise
Efficient service Ndakafarira basa renyu,1,Customer Service
Good customer care Great experience,1,Praise
Ndakafarira was excellent service basa renyu,1,Customer Service
Liked the new tool thank you cimas,1,Praise
Great experience thank you cimas,1,Praise
Makandibatsira zvakanaka efficient service,1,Customer Service
Great experience claims fast processing,1,Claim
Bad customer care Delay in claims,0,Claim
Ndakafarira basa renyu Ndakafarira basa renyu,1,Other
Delay in claims no aid received,0,Claim
Vanononoka kubatsira handife ndakadzokera,0,Other
Great experience Ndakafarira basa renyu,1,Praise
Too delayed reply very disappointing,0,Complaint
Handina kufara too sluggish reaction,0,Complaint
Worst insurance ever Handife ndakadzokera,0,Complaint
Delay vanononoka claims in kubatsira,0,Claim
Makandibatsira service efficient zvakanaka,1,Customer Service
Ndatenda zvikuru efficient service,1,Customer Service
Insurance worst ever very disappointing,0,Complaint
Handife support received no ndakadzokera,0,Other
No help received,0,Other
Fast claims processing quick assistance,1,Claim
Vanononoka insurance worst kubatsira ever,0,Complaint
Worst insurance ever vanononoka kubatsira,0,Complaint
Fast claims processing thank you cimas,1,Claim
Very disappointing handife ndakadzokera,0,Other
Makandibatsira was excellent service zvakanaka,1,Customer Service
Worst insurance ever Process takes forever,0,Complaint
Kind the new tool appreciated crew,1,Other
Bad customer care Handife ndakadzokera,0,Complaint
Unacceptable customer care process takes forever,0,Complaint
Great experience Quick assistance,1,Praise
Loved the new app Good customer care,1,Praise
Handife vanononoka ndakadzokera kubatsira,0,Other
Service was rude poor staff delivery,0,Customer Service
Too sluggish reaction worst insurance ever,0,Complaint
Liked the new platform efficient service,1,Customer Service
Assistance service quick efficient,1,Customer Service
Care customer good appreciated the new application,1,Praise
Handife ndakadzokera,0,Other
Cimas you thank liked the new platform,1,Praise
Too delayed handife feedback ndakadzokera,0,Complaint
Great experience great experience,1,Praise
Ndakafarira basa great renyu experience,1,Praise
Delay in claims worst insurance ever,0,Claim
Supportive team,1,Other
Assistance ndakadzokera no handife received,0,Other
Makandibatsira zvakanaka Loved the new app,1,Other
Poor customer care poor service delivery,0,Customer Service
Too late reaction too late reply,0,Complaint
Staff was rude Very disappointing,0,Other
No help received Handina kufara,0,Other
Ndatenda zvikuru Thank you CIMAS,1,Praise
Appreciated new the platform fast claims processing,1,Claim
No support received,0,Other
Vanononoka kubatsira Staff was rude,0,Other
Good customer care thank you cimas,1,Praise
Fast claims processing renyu basa ndakafarira,1,Claim
Thank you CIMAS Fast claims processing,1,Claim
Makandibatsira zvakanaka thank you cimas,1,Praise
Experience assistance great quick,1,Praise
Handina kufara delay in claims,0,Claim
Service was excellent service was excellent,1,Customer Service
Good customer care makandibatsira zvakanaka,1,Praise
Fast claims processing ndatenda zvikuru,1,Claim
No aid received very disappointing,0,Other
Quick assistance efficient service,1,Customer Service
Feedback late too delay in claims,0,Claim
Vanononoka kubatsira insurance worst ever,0,Complaint
Service was excellent Thank you CIMAS,1,Customer Service
Staff was rude,0,Other
Staff was rude very disappointing,0,Other
Received sluggish reply no support too,0,Complaint
Processing claims fast makandibatsira zvakanaka,1,Claim
Fast claims processing,1,Claim
Aid insurance ever no worst received,0,Complaint
Fast claims processing Ndatenda zvikuru,1,Claim
Too slow response Handina kufara,0,Complaint
Friendly personnel ndakafarira basa renyu,1,Other
Bad customer care Staff was rude,0,Complaint
Handife ndakadzokera Worst insurance ever,0,Complaint
Service was excellent Quick assistance,1,Customer Service
Makandibatsira zvakanaka Makandibatsira zvakanaka,1,Other
Ndatenda zvikuru,1,Other
Staff was rude Poor service delivery,0,Customer Service
Loved the new app Great experience,1,Praise
Ndakafarira basa renyu Helpful staff,1,Other
No help received Delay in claims,0,Claim
Great experience ndatenda zvikuru,1,Praise
Helpful staff Ndatenda zvikuru,1,Other
Handina ndakadzokera handife kufara,0,Other
Enjoyed the new tool service was excellent,1,Customer Service
Vanononoka kubatsira Poor service delivery,0,Customer Service
Service was excellent great experience,1,Customer Service
Poor service delivery Staff was rude,0,Customer Service
Poor service delivery Bad customer care,0,Customer Service
Staff was rude Handina kufara,0,Other
Process takes forever no assistance received,0,Other
Too sluggish feedback delay in claims,0,Claim
No help received Process takes forever,0,Other
Very disappointing forever takes process,0,Other
Makandibatsira quick zvakanaka assistance,1,Other
Assistance quick ndakafarira basa renyu,1,Other
Great experience Great experience,1,Praise
Great experience Thank you CIMAS,1,Praise
Vanononoka kubatsira Handina kufara,0,Other
Service good excellent was customer care,1,Customer Service
Too delayed feedback,0,Complaint
Process takes forever Bad customer care,0,Complaint
Too sluggish poor feedback service delivery,0,Customer Service
Handina kufara staff was rude,0,Other
Helpful staff Good customer care,1,Praise
Vanononoka kubatsira Bad customer care,0,Complaint
Cimas you thank ndatenda zvikuru,1,Praise
Poor service delivery Very disappointing,0,Customer Service
Too slow response,0,Complaint
Ndakafarira zvikuru ndatenda basa renyu,1,Other
Great experience service was excellent,1,Customer Service
Quick assistance ndakafarira basa renyu,1,Other
Fast claims processing Great experience,1,Claim
Ndatenda zvikuru was service excellent,1,Customer Service
Friendly personnel liked the new tool,1,Other
Friendly team fast claims processing,1,Claim
Ndakafarira basa renyu Thank you CIMAS,1,Praise
Staff was rude worst ever insurance,0,Complaint
Very disappointing vanononoka kubatsira,0,Other
In delay claims poor service delivery,0,Claim
Fast claims processing Thank you CIMAS,1,Claim
Process takes forever poor service delivery,0,Customer Service
Staff was rude received aid no,0,Other
Claims in delay too sluggish reaction,0,Claim
Ndatenda zvikuru service was excellent,1,Customer Service
Bad customer care Bad customer care,0,Complaint
Kufara handina worst insurance ever,0,Complaint
Poor service delivery very disappointing,0,Customer Service
Delay in claims very disappointing,0,Claim
Process takes forever Poor service delivery,0,Customer Service
Very disappointing Worst insurance ever,0,Complaint
Makandibatsira zvakanaka Good customer care,1,Praise
Makandibatsira zvakanaka Service was excellent,1,Customer Service
Ndatenda zvikuru good customer care,1,Praise
Thank you cimas quick assistance,1,Praise
Vanononoka kubatsira No help received,0,Other
No help received Very disappointing,0,Other
No aid received claims in delay,0,Claim
Fast zvakanaka makandibatsira claims processing,1,Claim
Very disappointing delay in claims,0,Claim
Too slow response Too slow response,0,Complaint
Thank you cimas friendly crew,1,Praise
Service was excellent enjoyed the new platform,1,Customer Service
Poor service delivery handina kufara,0,Customer Service
Great basa renyu ndakafarira experience,1,Praise
Kind team zvakanaka makandibatsira,1,Other
Good customer care Makandibatsira zvakanaka,1,Praise
Handina in claims delay kufara,0,Claim
Staff was rude Handife ndakadzokera,0,Other
Handife ndakadzokera Very disappointing,0,Other
Delay in claims delivery service poor,0,Claim
Thank you cimas thank cimas you,1,Praise
Ndakafarira customer care good basa renyu,1,Praise
Process takes forever Handina kufara,0,Other
Helpful staff Loved the new app,1,Other
Poor delivery service handife ndakadzokera,0,Customer Service
Delay in claims delay in claims,0,Claim
Delay in claims Delay in claims,0,Claim
Staff was rude Staff was rude,0,Other
Makandibatsira zvakanaka friendly crew,1,Other
Process takes forever staff was rude,0,Other
Ndatenda zvikuru Helpful staff,1,Other
No kubatsira vanononoka aid received,0,Other
Rude was staff worst insurance ever,0,Complaint
Disappointing very vanononoka kubatsira,0,Other
Ndatenda zvikuru great experience,1,Praise
Terrible customer care handina kufara,0,Complaint
Thank you good cimas customer care,1,Praise
Thank you cimas ndatenda zvikuru,1,Praise
Service was excellent Service was excellent,1,Customer Service
Fast claims processing Quick assistance,1,Claim
Makandibatsira zvakanaka,1,Other
Ndatenda zvikuru zvikuru ndatenda,1,Other
Efficient service Loved the new app,1,Customer Service
No poor received assistance service delivery,0,Customer Service
Vanononoka kubatsira Process takes forever,0,Other
Delay in claims handife ndakadzokera,0,Claim
Was kufara staff handina rude,0,Other
Liked the new tool quick assistance,1,Other
Kind personnel efficient service,1,Customer Service
Ndatenda zvikuru Ndatenda zvikuru,1,Other
Handina kufara Worst insurance ever,0,Complaint
Quick assistance fast claims processing,1,Claim
Zvakanaka makandibatsira kind personnel,1,Other
Handina care terrible customer kufara,0,Complaint
Great experience ndakafarira basa renyu,1,Praise
Great experience Fast claims processing,1,Claim
Service makandibatsira excellent was zvakanaka,1,Customer Service
Worst insurance in delay ever claims,0,Claim
Poor service delivery insurance worst ever,0,Customer Service
Was staff rude handife ndakadzokera,0,Other
Kind personnel,1,Other
Thank you CIMAS Thank you CIMAS,1,Praise
Fast claims processing friendly team,1,Claim
Staff in rude delay was claims,0,Claim
Vanononoka kubatsira Too slow response,0,Complaint
Delay in claims too sluggish reaction,0,Claim
Vanononoka kubatsira Delay in claims,0,Claim
Handife ndakadzokera very disappointing,0,Other
Delay in claims no assistance received,0,Claim
Good customer care service was excellent,1,Customer Service
Process takes forever too sluggish reply,0,Complaint
Makandibatsira zvakanaka Thank you CIMAS,1,Praise
Vanononoka kubatsira Handife ndakadzokera,0,Other
Thank you cimas ndakafarira renyu basa,1,Praise
Handina kufara very disappointing,0,Other
Handina was rude staff kufara,0,Other
No aid received worst insurance ever,0,Complaint
Efficient service Helpful staff,1,Customer Service
Service was excellent Efficient service,1,Customer Service
Too slow response No help received,0,Complaint
Too late feedback received support no,0,Complaint
Good customer care Ndatenda zvikuru,1,Praise
Customer poor care handife ndakadzokera,0,Complaint
Too delayed feedback staff was rude,0,Complaint
Thank you cimas enjoyed the new platform,1,Praise
Enjoyed the new tool the appreciated new application,1,Other
Liked the new platform,1,Other
No assistance received,0,Other
Handife takes process ndakadzokera forever,0,Other
Supportive crew liked the new tool,1,Other
Makandibatsira zvakanaka Ndakafarira basa renyu,1,Other
Supportive crew service was excellent,1,Customer Service
Supportive personnel kind team,1,Other
Poor service delivery Delay in claims,0,Claim
Thank you CIMAS Ndakafarira basa renyu,1,Praise
Too disappointing very delayed reply,0,Complaint
Fast claims processing appreciated the new application,1,Claim
Process takes forever worst insurance ever,0,Complaint
Quick assistance friendly team,1,Other
